mssv,HK 1,HK 1 dat,HK 1 hoc lai,HK 2,HK 2 dat,HK 2 hoc lai,HK 3,HK 3 dat,HK 3 hoc lai,HK 4,HK 4 dat,HK 4 hoc lai,HK 5,HK 5 dat,HK 5 hoc lai,HK 6,HK 6 dat,HK 6 hoc lai,HK 7,HK 7 dat,HK 7 hoc lai,HK 8,HK 8 dat,HK 8 hoc lai,xep_loai_hoc_tap
181203948,6.3,13,0,6.2,12,0,5.9,5,14,5.3,17,0,4.9,18,0,6.1,18,3,6.5,18,0,7.2,12,0,Trung binh
181200084,6.7,13,0,7.1,12,0,5.5,19,0,6.5,14,3,6.2,18,0,7.7,18,3,7.9,18,0,6.5,12,0,Khá
181202342,6.3,13,0,5.9,12,0,7.4,11,8,6.2,17,0,6.8,18,0,7.0,21,0,6.9,18,0,8.7,12,0,Khá
181202201,6.7,13,0,5.7,9,3,6.4,19,0,6.5,14,3,6.7,15,3,7.1,18,3,7.6,18,0,7.3,12,0,Khá
181201458,7.4,13,0,7.5,12,0,7.2,19,0,7.9,17,0,6.7,18,0,7.0,18,3,8.3,18,0,8.7,12,0,Khá
181201403,7.1,13,0,4.9,12,0,7.4,19,0,7.4,17,0,7.9,18,0,7.8,18,3,7.9,18,0,8.0,12,0,Khá
181210621,6.3,10,3,6.7,3,9,5.7,13,6,6.5,14,3,6.8,18,0,7.2,21,0,7.2,18,0,8.3,12,0,Khá
181204095,7.5,13,0,6.3,12,0,6.9,19,0,6.9,17,0,6.4,18,0,6.9,18,3,7.4,18,0,8.8,12,0,Khá
181202094,5.2,13,0,6.6,3,9,6.0,13,6,7.4,17,0,5.5,18,0,6.9,21,0,7.9,18,0,7.4,12,0,Khá
181203886,6.8,13,0,6.0,12,0,6.6,16,3,6.8,17,0,5.9,18,0,7.2,21,0,8.3,18,0,8.2,12,0,Khá
181201622,6.3,13,0,6.1,6,6,5.1,10,9,6.0,17,0,5.8,16,2,7.0,15,6,7.7,18,0,8.4,12,0,Trung binh
181202412,8.3,13,0,8.5,9,3,7.5,19,0,7.6,17,0,7.4,18,0,7.7,21,0,7.8,18,0,8.2,12,0,Khá
181202231,8.7,13,0,7.1,12,0,7.0,19,0,8.2,17,0,7.8,18,0,8.6,21,0,8.7,18,0,8.7,12,0,Gioi
181203069,8.8,13,0,9.4,12,0,9.3,19,0,9.4,17,0,8.5,18,0,9.1,21,0,8.1,18,0,9.5,12,0,Xuat sac
181230369,6.7,11,2,6.0,12,0,6.3,16,3,6.0,15,2,6.4,15,3,7.5,21,0,7.6,18,0,7.4,12,0,Khá
181200912,6.1,8,5,5.7,9,3,6.6,16,3,6.6,17,0,7.1,18,0,6.8,21,0,7.6,18,0,8.6,12,0,Khá
181201248,7.6,10,3,5.2,12,0,6.8,19,0,8.7,17,0,7.4,18,0,8.2,21,0,8.5,18,0,8.9,12,0,Khá
181233518,5.9,8,5,6.0,6,6,6.5,19,0,5.7,17,0,6.9,15,3,8.3,21,0,8.6,18,0,8.7,12,0,Khá
181210341,7.1,11,2,8.2,9,3,7.5,17,2,8.3,17,0,8.4,18,0,8.2,21,0,8.1,18,0,8.3,12,0,Khá
181200766,9.1,13,0,7.8,12,0,8.0,19,0,8.5,17,0,8.1,18,0,8.5,21,0,8.6,18,0,9.2,12,0,Gioi
181201629,5.7,13,0,7.1,9,3,6.1,19,0,7.6,17,0,7.5,18,0,7.9,21,0,7.7,18,0,8.8,2,10,Khá
181203048,7.7,13,0,5.2,12,0,6.5,19,0,8.3,17,0,7.2,18,0,8.5,21,0,8.0,18,0,8.6,12,0,Khá
181200921,8.7,13,0,7.4,12,0,7.3,19,0,8.6,17,0,7.6,18,0,8.1,21,0,8.0,18,0,8.6,12,0,Gioi
181210675,7.4,13,0,6.9,12,0,7.7,19,0,8.8,17,0,8.1,18,0,9.3,21,0,8.6,18,0,9.2,12,0,Gioi
181202326,6.2,13,0,6.8,9,3,6.5,19,0,7.6,17,0,7.9,18,0,9.0,21,0,8.4,18,0,9.2,12,0,Khá
181211737,6.4,13,0,6.1,9,3,7.3,19,0,6.8,17,0,7.8,18,0,7.9,21,0,8.0,18,0,8.5,12,0,Khá
181200566,7.0,13,0,8.4,12,0,8.9,19,0,9.6,17,0,8.6,18,0,9.2,21,0,8.7,18,0,9.3,12,0,Xuat sac
